Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,Unnamed: 16,Unnamed: 17
1210,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,MeCN,92.13,193523.98,,
1211,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,MeCN,69.09,47920.14,,
1212,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,KOH,2.5,MeCN,81.29,116159.82,,
1213,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,MeCN,92.92,61173.52,,
1214,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,MeCN,98.2,258328.99,,
1215,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,MeCN,90.96,68758.5,,
1216,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,MeCN,91.73,220667.26,,
1217,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,MeCN,90.03,52445.79,,
1218,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,MeCN,94.64,187259.11,,
1219,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,MeCN,93.43,58275.63,,
1220,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,MeCN,90.23,210710.07,,
1221,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,MeCN,88.37,53092.2,,
1222,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,MeCN,90.92,183286.03,,
1223,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,MeCN,56.2,36120.08,,
1224,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,LiOtBu,2.5,MeCN,83.37,124451.66,,
1225,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,MeCN,91.89,63644.2,,
1226,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,MeCN,94.82,192401.31,,
1227,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,MeCN,91.24,61499.22,,
1228,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,MeCN,91.4,218020.96,,
1229,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,MeCN,85.85,51007.24,,
1230,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,MeCN,92.03,211221.34,,
1231,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,MeCN,85.21,55766.24,,
1232,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,MeCN,85.3,167175.41,,
1233,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,MeCN,79.09,47922.04,,
1234,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,MeCN,87.3,164665.42,,
1235,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,MeCN,56.51,37573.75,,
1236,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,Et3N,2.5,MeCN,62.8,104944.37,,
1237,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,,2.5,MeCN,80.43,57312.01,,
1238,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,,2.5,MeCN,81.66,165400.3,,
1239,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,,2.5,MeCN,80.71,50701.29,,
1240,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,,2.5,MeCN,71.35,186161.12,,
1241,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,,2.5,MeCN,68.84,46138.82,,
1242,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,,2.5,MeCN,80.77,184777.77,,
1243,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,,2.5,MeCN,67.76,49802.96,,
1244,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,,2.5,MeCN,70.97,150743.11,,
1245,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,,2.5,MeCN,63.55,43313.85,,
1246,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,,2.5,MeCN,77.93,162722.18,,
1247,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,,2.5,MeCN,45.41,34465.66,,
1248,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,,2.5,MeCN,48.74,61847.08,,
1249,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,THF,88.5,58681.98,,
1250,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,THF,95.95,201813.18,,
1251,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,THF,94.08,55970.18,,
1252,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,THF,88.6,159411.91,,
1253,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,THF,83.3,45848.54,,
1254,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,THF,96.14,164267.38,,
1255,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,THF,86.88,43612.57,,
1256,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,THF,76.25,138791.11,,
1257,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,THF,83.93,40844.85,,
1258,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,THF,88.57,112815.66,,
1259,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,THF,61.53,31509.45,,
1260,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,NaOH,2.5,THF,73.1,112272.82,,
1261,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,THF,83.82,44782.95,,
1262,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,THF,91.34,155057.69,,
1263,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,THF,83.05,44514.34,,
1264,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,THF,81.74,157316.04,,
1265,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,THF,64.98,37201.21,,
1266,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,THF,74.43,138769.83,,
1267,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,THF,60.4,33862.7,,
1268,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,THF,52.81,98736.01,,
1269,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,THF,55.47,32300.51,,
1270,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,THF,71.51,110200.57,,
1271,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,THF,37.37,22367.59,,
1272,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,NaHCO3,2.5,THF,45.26,83232.9,,
1273,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,THF,55.62,34760.15,,
1274,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,THF,70.45,138496.95,,
1275,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,THF,63.78,37671.19,,
1276,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,THF,62.81,135497.68,,
1277,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,THF,48.77,27339.14,,
1278,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,THF,62.9,120830.71,,
1279,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,THF,39.4,25206.52,,
1280,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,THF,43.13,83540.66,,
1281,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,THF,40.12,23388.19,,
1282,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,THF,54.13,83470.49,,
1283,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,THF,24.51,15267.1,,
1284,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,CsF,2.5,THF,29.21,57063.06,,
1285,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,THF,47.62,27994.21,,
1286,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,THF,61.51,116288.17,,
1287,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,THF,59.14,32363.92,,
1288,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,THF,52.8,95757.32,,
1289,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,THF,45.49,25029.01,,
1290,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,THF,63.2,113887.24,,
1291,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,THF,39.21,25921.68,,
1292,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,THF,46.25,84785.28,,
1293,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,THF,38.17,22860.16,,
1294,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,THF,56.94,83668.08,,
1295,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,K3PO4,2.5,THF,27.84,16345.48,,
1296,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,K3PO4,2.5,THF,29.99,56680.57,,
1297,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,KOH,2.5,THF,52.95,29320.55,,
1298,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,KOH,2.5,THF,65.45,132028.51,,
1299,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,KOH,2.5,THF,68.9,34423.89,,
1300,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,KOH,2.5,THF,65.74,128169.69,,
1301,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,KOH,2.5,THF,48.98,25943.63,,
1302,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,KOH,2.5,THF,69.93,121692.49,,
1303,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,KOH,2.5,THF,59.54,28023.22,,
1304,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,KOH,2.5,THF,64.7,113810.18,,
1305,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,KOH,2.5,THF,60.62,31907.03,,
1306,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,THF,71.73,94516.84,,
1307,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,THF,48.62,26605.1,,
1308,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,KOH,2.5,THF,55.94,78709.6,,
1309,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,THF,73.2,35820.38,,
1310,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,THF,81.77,133587.54,,
1311,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,THF,77.13,36857.16,,
1312,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,THF,77.57,115577.94,,
1313,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,THF,67.75,30970.8,,
1314,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,THF,84.72,121714.12,,
1315,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,THF,73.5,35373.68,,
1316,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,THF,66.01,97736.77,,
1317,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,THF,73.95,33284.27,,
1318,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,THF,81.28,88743.9,,
1319,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,THF,55.25,25847.96,,
1320,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,LiOtBu,2.5,THF,66.17,86958.79,,
1321,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,THF,81.91,39773.8,,
1322,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,THF,87.64,136753.08,,
1323,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,THF,84.9,41266.25,,
1324,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,THF,80.13,129633.5,,
1325,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,THF,70.14,34113.89,,
1326,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,THF,87.87,130154.7,,
1327,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,THF,74.29,34648.79,,
1328,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,THF,65.38,98145.28,,
1329,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,THF,67.97,33122.31,,
1330,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,THF,73.42,88898.93,,
1331,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,THF,52.7,23417.82,,
1332,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,Et3N,2.5,THF,67.57,116218.34,,
1333,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,,2.5,THF,81.08,40192.92,,
1334,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,,2.5,THF,88.67,143818.16,,
1335,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,,2.5,THF,84.67,41664.09,,
1336,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Cy)3,0.125,,2.5,THF,82.58,131162.22,,
1337,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,,2.5,THF,69.32,35050.38,,
1338,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,CataCXium A,0.125,,2.5,THF,81.6,134784.07,,
1339,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,SPhos,0.125,,2.5,THF,70.57,33527.1,,
1340,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dtbpf,0.125,,2.5,THF,61.84,95149.35,,
1341,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,XPhos,0.125,,2.5,THF,62.62,32001.52,,
1342,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,dppf,0.125,,2.5,THF,75.49,107389.02,,
1343,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,Xantphos,0.125,,2.5,THF,44.88,23208.5,,
1344,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,,,,2.5,THF,52.84,75478.84,,
1345,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,DMF,64.95,36489.42,,
1346,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,DMF,93.38,161594.9,,
1347,6-Iodoquinoline,"1d, 6-I-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,DMF,89.51,50875.64,,
